Abfaltersbach  Lienz  622  617  616  655  647
Absam  Innsbruck-Land  5402  5834  6361  6718  7319
Achenkirch  Schwaz  1904  1969  2065  2146  2169
Ainet  Lienz  953  1007  1018  918  921
Aldrans  Innsbruck-Land  1477  1762  1944  2206  2761
Alpbach  Kufstein  1998  2163  2489  2589  2538
Amlach  Lienz  236  261  324  378  492
Ampass  Innsbruck-Land  1184  1158  1303  1676  1832
Angath  Kufstein  644  696  841  917  1031
Angerberg  Kufstein  1124  1377  1664  1768  1925
Anras  Lienz  1344  1323  1337  1289  1229
Arzl_im_Pitztal  Imst  2316  2530  2783  2981  3140
Aschau_im_Zillertal  Schwaz  1180  1343  1533  1717  1866
Assling  Lienz  2192  2085  2084  1869  1786
Aurach_bei_Kitzbühel  Kitzbühel  1024  1050  1203  1143  1132
Außervillgraten  Lienz  1171  1026  977  785  746
Axams  Innsbruck-Land  3676  4903  5294  5581  6111
Bach  Reutte  675  684  688  688  634
Bad_Häring  Kufstein  2065  2197  2265  2566  2882
Baumkirchen  Innsbruck-Land  870  935  1085  1149  1297
Berwang  Reutte  536  566  638  578  597
Biberwier  Reutte  567  557  589  633  631
Bichlbach  Reutte  751  759  851  800  772
Birgitz  Innsbruck-Land  824  1073  1212  1314  1496
Brandberg  Schwaz  319  336  349  351  368
Brandenberg  Kufstein  1409  1454  1523  1551  1531
Breitenbach_am_Inn  Kufstein  2393  2663  3152  3322  3517
Breitenwang  Reutte  1225  1547  1578  1503  1479
Brixen_im_Thale  Kitzbühel  2148  2269  2574  2656  2636
Brixlegg  Kufstein  2594  2639  2776  2800  3043
Bruck_am_Ziller  Schwaz  778  897  912  997  1132
Buch_in_Tirol (Buch_bei_Jenbach)  Schwaz  1789  2097  2426  2543  2596
Dölsach  Lienz  1907  2049  2188  2263  2303
Ebbs  Kufstein  3750  4457  4885  5221  5716
Eben_am_Achensee  Schwaz  1752  2241  2651  2800  3352
Ehenbichl  Reutte  650  663  698  819  821
Ehrwald  Reutte  2222  2303  2554  2568  2593
Elbigenalp  Reutte  711  819  836  861  884
Ellbögen  Innsbruck-Land  951  949  1093  1062  1146
Ellmau  Kufstein  1847  2117  2524  2653  2866
Elmen  Reutte  367  393  396  376  391
Erl  Kufstein  1172  1272  1415  1442  1553
Faggen  Landeck  247  258  280  370  383
Fendels  Landeck  199  210  258  260  275
Fieberbrunn  Kitzbühel  3914  4160  4180  4364  4407
Finkenberg  Schwaz  1380  1490  1521  1493  1413
Fiss  Landeck  627  764  859  920  995
Flaurling  Innsbruck-Land  908  976  1106  1220  1309
Fließ  Landeck  2409  2881  2924  2923  3094
Flirsch  Landeck  861  911  941  942  991
Forchach  Reutte  246  272  287  280  260
Fritzens  Innsbruck-Land  1688  1848  2022  2041  2148
Fügen  Schwaz  2668  2918  3410  3801  4227
Fügenberg  Schwaz  1044  1057  1166  1331  1436
Fulpmes  Innsbruck-Land  2973  3611  3894  4183  4495
Gaimberg  Lienz  709  707  767  838  872
Gallzein  Schwaz  394  449  504  596  679
Galtür  Landeck  676  692  774  780  767
Gerlos  Schwaz  749  781  819  779  805
Gerlosberg  Schwaz  299  357  395  478  472
Gnadenwald  Innsbruck-Land  409  551  605  725  826
Going_am_Wilden_Kaiser  Kitzbühel  1180  1449  1730  1863  1919
Götzens  Innsbruck-Land  2734  3261  3526  3906  4138
Gramais  Reutte  55  50  60  53  41
Grän  Reutte  484  483  597  570  597
Gries_am_Brenner  Innsbruck-Land  1321  1330  1260  1276  1332
Gries_im_Sellrain  Innsbruck-Land  505  560  570  570  619
Grins  Landeck  1111  1147  1295  1389  1375
Grinzens  Innsbruck-Land  1095  1260  1280  1329  1410
Gschnitz  Innsbruck-Land  436  443  455  425  436
Haiming  Imst  3263  3463  3901  4449  4770
Hainzenberg  Schwaz  474  568  679  682  723
Hall_in_Tirol  Innsbruck-Land  12614  12368  11491  12835  14243
Hart_im_Zillertal  Schwaz  1126  1172  1284  1498  1600
Häselgehr  Reutte  671  670  716  671  666
Hatting  Innsbruck-Land  728  809  1012  1233  1469
Heinfels  Lienz  760  905  997  1004  1008
Heiterwang  Reutte  480  499  554  510  531
Hinterhornbach  Reutte  86  98  92  96  94
Hippach  Schwaz  1197  1366  1398  1368  1443
Hochfilzen  Kitzbühel  1059  1111  1109  1130  1275
Höfen  Reutte  1033  1153  1252  1269  1253
Holzgau  Reutte  398  458  465  435  387
Hopfgarten_im_Brixental  Kitzbühel  4952  5196  5266  5550  5650
Hopfgarten_in_Defereggen  Lienz  1005  890  839  764  686
